pierścień,d_LP_1,d_LP_2,d_GD_1,d_GD_2,d_śr
r16,12.310000000000002,12.309999999999999,12.399999999999999,12.41,12.357499999999998
r18,13.16,13.05,13.17,13.089999999999998,13.1175
r20,13.850000000000001,13.849999999999998,13.819999999999999,15.83,14.337499999999999
r22,14.59,14.600000000000001,14.549999999999999,14.589999999999998,14.5825
r24,15.149999999999999,15.18,15.180082344967698,15.180000000000001,15.172520586241925
