"Time (s) Run #1";"Temperature (°C) Run #1";"Pressure (kPa) Run #1"
13,150;24,4;153,8
13,200;24,4;153,7
13,250;24,4;153,6
13,300;24,3;153,5
13,350;24,3;153,5
13,400;24,3;153,5
13,450;24,3;153,5
13,500;24,3;153,5
13,550;24,3;153,4
13,600;24,2;153,4
13,650;24,2;153,4
13,700;24,2;153,4
13,750;24,2;153,4
13,800;24,2;153,4
13,850;24,2;153,3
13,900;24,2;153,3
13,950;24,2;153,2
14,000;24,2;153,2
14,050;24,2;153,2
14,100;24,1;153,1
14,150;24,1;153,1
14,200;24,1;153,1
14,250;24,1;153,1
14,300;24,1;153,1
14,350;24,1;153,1
14,400;24,1;153,1
14,450;24,1;153,0
14,500;24,1;153,0
14,550;24,1;153,0
14,600;24,0;153,0
14,650;24,0;153,0
14,700;24,0;152,9
14,750;24,0;152,9
14,800;24,0;152,8
14,850;24,0;152,8
14,900;24,0;152,8
14,950;24,0;152,7
15,000;24,0;152,7
15,050;24,0;152,6
15,100;24,0;152,5
15,150;24,0;152,4
15,200;24,0;152,3
15,250;24,0;152,2
15,300;24,0;152,2
15,350;24,0;152,1
15,400;24,1;152,1
15,450;24,1;152,0
15,500;24,1;151,9
15,550;24,1;151,8
15,600;24,1;151,6
15,650;24,1;151,4
15,700;24,1;151,2
15,750;24,1;151,0
15,800;24,1;150,8
15,850;24,1;150,6
15,900;24,2;150,4
15,950;24,2;150,3
16,000;24,2;150,1
16,050;24,2;149,9
16,100;24,2;149,8
16,150;24,2;149,6
16,200;24,2;149,5
16,250;24,2;149,4
16,300;24,2;149,2
16,350;24,3;149,0
16,400;24,3;148,9
16,450;24,3;148,7
16,500;24,3;148,5
16,550;24,3;148,3
16,600;24,3;148,1
16,650;24,3;147,9
16,700;24,3;147,8
16,750;24,3;147,7
16,800;24,3;147,6
16,850;24,3;147,6
16,900;24,3;147,6
16,950;24,3;147,5
17,000;24,3;147,5
17,050;24,3;147,4
17,100;24,3;147,4
17,150;24,3;147,3
17,200;24,3;147,2
17,250;24,2;147,1
17,300;24,2;147,1
17,350;24,2;147,0
17,400;24,2;147,0
17,450;24,2;146,9
17,500;24,2;146,8
17,550;24,1;146,7
17,600;24,1;146,6
17,650;24,1;146,6
17,700;24,1;146,5
17,750;24,0;146,4
17,800;24,0;146,4
17,850;24,0;146,4
17,900;24,0;146,4
17,950;23,9;146,4
18,000;23,9;146,3
18,050;23,9;146,3
18,100;23,9;146,3
18,150;23,8;146,2
18,200;23,8;146,2
18,250;23,8;146,2
18,300;23,8;146,2
18,350;23,8;146,1
18,400;23,8;146,1
18,450;23,7;146,1
18,500;23,7;146,0
18,550;23,7;145,9
18,600;23,7;145,9
18,650;23,7;145,9
18,700;23,7;145,9
18,750;23,7;145,8
18,800;23,7;145,8
18,850;23,7;145,7
18,900;23,7;145,7
18,950;23,6;145,5
19,000;23,6;145,4
19,050;23,6;145,4
19,100;23,6;145,3
19,150;23,6;145,2
19,200;23,6;145,2
19,250;23,6;145,2
19,300;23,6;145,1
19,350;23,6;145,1
19,400;23,6;145,0
19,450;23,7;144,9
19,500;23,7;144,5
19,550;23,7;141,2
19,600;23,7;132,9
19,650;23,7;128,4
19,700;23,7;124,9
19,750;23,7;122,7
19,800;23,7;121,2
19,850;23,7;120,1
19,900;23,8;119,2
19,950;23,8;118,5
20,000;23,8;117,9
20,050;23,8;117,4
20,100;23,8;116,9
20,150;23,8;116,5
20,200;23,8;116,1
20,250;23,8;115,7
20,300;23,8;115,4
20,350;23,9;115,1
20,400;23,9;114,8
20,450;23,9;114,6
20,500;23,9;114,3
20,550;23,9;114,1
20,600;23,9;113,9
20,650;23,9;113,8
20,700;23,9;113,6
